county_name,ev_location,ev_address,ev_city_state_zip,ev_location_type,ev_dates,ev_hours,ev_notes
Clinton County,County Clerk's Office,850 Fairfax Street,"Carlyle, IL  62231",Temporary Early Voting Location,"Begins on February 6, 2020 and concludes March 16, 2020",Monday - Friday 8:00 am to 4:30 pm,Closed on Holidays
Coles County,County Clerk's Office,651 Jackson Ave,"Charleston, IL  61920",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020.","8:30 AM to 4:30 PM Monday though Friday, except Holidays.", 
Coles County,Mattoon City Hall,208 N 19th St,"Mattoon, IL  61938",Temporary Early Voting Location,"Begins February 6, 2020 and concludes March 16, 2020.","8:00 AM to 4:30 PM Monday through Friday, except Holidays.", 
Cook County,Alsip Village Hall,4500 W 123rd St,"Alsip, IL  60803",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6,  2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Arlington Heights Village Hall,33 S Arlington Heights Rd,"Arlington Heights, IL  60005",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Barrington Hills Village Hall,112 Algonquin Rd,"Barrington Hills, IL  60010",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Bellwood Village Hall,3200 Washington Blvd,"Bellwood, IL  60104",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Berwyn City Hall,6700 W 26th St,"Berwyn, IL  60402",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Brookfield Village Hall,8820 Brookfield Ave,"Brookfield, IL  60513",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Burbank (Prairie Trails Library District) ,8449 S Moody Ave,"Burbank, IL  60459",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Calumet City Public Library,660 S Manistee Ave,"Calumet City, IL  60827",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Calumet Township Community Center,12633 S Ashland Ave,"Calumet Park, IL  60827",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Cicero Community Center ,2250 S 49th Ave,"Cicero, IL  60804",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Cicero PSO Building ,5410 W 34th St,"Cicero, IL  60804",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Crestwood (Andrew Biela Senior Citizen Center) ,4545 Midlothian Turnpike,"Crestwood, IL  60445",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Des Plaines Public Library ,1501 Ellinwood St,"Des Plaines, IL  60016",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Elk Grove Village Hall ,901 Wellington Ave,"Elk Grove Village, IL  60007",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Elmwood Park Village Hall ,11 W Conti Parkway,"Elmwood Park, IL  60707",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Evanston Civic Center ,2100 Ridge Ave,"Evanston, IL  60201",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Franklin Park Village Hall ,9500 Belmont Ave,"Franklin Park, IL  60131",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Glenview Village Hall ,2500 E Lake Ave,"Glenview, IL  60025",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM , 
Cook County,Hodgkins Village Hall ,8990 Lyons St,"Hodgkins, IL  60525",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Hoffman Estates Village Hall ,1900 Hassell Rd,"Hoffman Estates, IL  60169",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lansing Public Library ,2750 Indiana Ave,"Lansing, IL  60438",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lemont Township Hall,1115 Warner Ave,"Lemont, IL  60439",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Lynwood Senior Youth Center,21490 Lincoln Hwy,"Lynwood, IL  60411",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Matteson Community Center,20642 Matteson Ave,"Matteson, IL  60443",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Melrose Park Village Hall ,1000 25th Ave,"Melrose Park, IL  60160",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Niles Village Hall ,1000 Civic Center Dr,"Niles, IL  60714",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Norridge Village Hall ,4000 N Olcott Ave,"Norridge, IL  60706",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Northbrook Village Hall ,1225 Cedar Lane,"Northbrook, IL  60062",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Oak Forest City Hall ,15440 S Central Ave,"Oak Forest, IL  60452",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Oak Lawn Village Hall ,9446 S Raymond Ave,"Oak Lawn, IL  60453",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Oak Park Village Hall ,123 Madison Street,"Oak Park, IL  60302",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Olympia Fields (Sunrise Villa),3633 Breakers Dr,"Olympia Fields , IL  60461",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6,  2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Orland Township Hall ,14807 Ravinia Ave,"Orland Park, IL  60462",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Palatine Village Hall,200 E Wood Street,"Palatine, IL  60067",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Park Ridge (Centennial Activity Center),100 S Western Ave,"Park Ridge , IL  60068",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Schaumburg (Trickster Art Gallery)         ,190 S Roselle Rd,"Schaumburg, IL  60193",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Skokie Village Hall ,5127 Oakton St,"Skokie, IL  60077",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,"South Holland  (South suburban College), Conference Center, Thornton Room",15800 S State St,"South Holland , IL  60473",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Stickney-Forest View Public Library,6800 W 43rd St,"Stickney, IL  60402",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Streamwood Village Hall ,301 E Irving Park Rd,"Streamwood, IL  60107",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Tinley Park Village Hall ,16250 S Oak Park Ave,"Tinley Park, IL  60477",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Wilmette (Centennial Ice Rinks),2300 Old Glenview Rd,"Wilmette , IL  60091",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM , 
Cook County,Bridgeview Courthouse,10220 S 76th Ave,"Bridgeview, IL  60455",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wed thru Friday 9:00 AM to 5:00 PM, 
Cook County,Markham Courthouse,16501 S Kedzie Ave,"Markham, IL  60428",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wednesday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Maywood Courthouse - Whitcomb Building,1311 Maybrook Square,"Maywood, IL  60153",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wednesday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Rolling Meadows Courthouse,2121 Euclid Ave,"Rolling Meadows, IL  60008",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wednesday thru Friday 9:00 AM to 5:00 PM , 
Cook County,Skokie Courthouse,5600 W Old Orchard Rd,"Skokie, IL  60077",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wednesday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Cook County Clerk's Main Office,69 W Washington St,"Chicago, IL  60602",Permanent Early Voting with Grace Period Registration,"February 19 thru February 21, 2020",Wednesday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Palos Heights Recreation Center,6601 W 127th St,"Palos Heights, IL  60463",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,All Polling Locations, All Polling Locations,"All Polling Locations, IL  00000",Grace Period on Election Day Location,"March 17, 2020",6AM to 7PM, 
Cook County,Mt. Prospect Village Hall,50 S Emerson St,"Mount Prospect, IL  60056",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Chicago Heights (Prairie State College),202 S Halsted St,"Chicago Heights, IL  60411",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,South Chicago Heights Senior Center,3140 Enterprise Park Ave,"South Chicago Heights, IL  60411",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Cook County,Wheeling (Chamber Park),127 N Wolf Rd,"Wheeling, IL  60090",Permanent Early Voting with Grace Period Registration,"March 2 thru March 6, 2020",Monday thru Friday 9:00 AM to 5:00 PM, 
Crawford County,Crawford County Courthouse Annex,100 S Douglas St,"Robinson, IL  62454",Temporary Early Voting Location,"Begins on Thursday, February 6, 2020 and concludes Feb.18, 2020","Monday thru Friday, 8:00 AM to 4:00 PM,  except Holidays",Excluding holidays
Cumberland County,County Clerk's Office,140 Courthouse Square,"Toledo, IL  62468",Temporary Early Voting with Grace Period Registration,"Begins on February 6, 2020 and concludes March 16, 2020","8:00 A.M. TO 4:00 P.M. Monday thru Friday, except Holidays", 
DeKalb County,DeKalb Township Building,2323 S 4th St,"Dekalb, IL  60115",Temporary Early Voting Location,"March 2, 2020 thru March 6, 2020",8:30am - 4:30pm M-W-F & 8:30am - 7:00pm  T & Th, 
